Title,Awards,Awards_won,Awards_nominated,Prime_Awards_nominated,Oscars_Awards_nominated,Golden_Globe_Awards_nominated,BAFTA_Awards_nominated,Prime_Awards_won,Oscars_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won,Other_nominations,Other_wins
McLeod's Daughters,9 wins & 30 nominations.,9,30,0,0,0,0,0,0,0,0,30,9
Personal Trainer,None.,0,0,0,0,0,0,0,0,0,0,0,0
Spirit,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Grim Adventures of Billy & Mandy,Won 1 Primetime Emmy. Another 1 win & 6 nominations.,2,6,0,0,0,0,1,0,0,0,6,1
Lost,None.,0,0,0,0,0,0,0,0,0,0,0,0
Absolutt underholdning,None.,0,0,0,0,0,0,0,0,0,0,0,0
Acampamento Legal,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alloo Undercover,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Big Time,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
La decisión de San Mateo,None.,0,0,0,0,0,0,0,0,0,0,0,0
Atrévete a olvidarme,None.,0,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Chamber of Secrets,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,11,42,0,0,0,3,0,0,0,0,39,11
Sins of the Father,6 nominations.,0,6,0,0,0,0,0,0,0,0,6,0
Armadillo,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bachelors Walk,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0,4,1
I Spy,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0,5,2
7 Lives Xposed,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alles komt terug,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Ring,14 wins & 11 nominations.,14,11,0,0,0,0,0,0,0,0,11,14
A Dalmatians Point of View,None.,0,0,0,0,0,0,0,0,0,0,0,0
Jalousie,None.,0,0,0,0,0,0,0,0,0,0,0,0
2DTV,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0,1,1
'Orrible,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adventure Divas,None.,0,0,0,0,0,0,0,0,0,0,0,0
Dr. Terrible's House of Horrible,None.,0,0,0,0,0,0,0,0,0,0,0,0
Asbestos,None.,0,0,0,0,0,0,0,0,0,0,0,0
Black and White,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0,2,1
Family Outing,None.,0,0,0,0,0,0,0,0,0,0,0,0
Reel Life: Lost Boys - The Denver High School Massacre,None.,0,0,0,0,0,0,0,0,0,0,0,0
1 jaar gratis,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adamseplene: Full pupp,None.,0,0,0,0,0,0,0,0,0,0,0,0
Agrippine,None.,0,0,0,0,0,0,0,0,0,0,0,0
Arsenio Jams,None.,0,0,0,0,0,0,0,0,0,0,0,0
Back of the Y Masterpiece Television,None.,0,0,0,0,0,0,0,0,0,0,0,0
Home Truths,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Passage to Middle-earth: The Making of 'Lord of the Rings',None.,0,0,0,0,0,0,0,0,0,0,0,0
+ de cinéma,None.,0,0,0,0,0,0,0,0,0,0,0,0
Agua y aceite,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alienators: Evolution Continues,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alma libre,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ana y los 7,2 nominations.,0,2,0,0,0,0,0,0,0,0,2,0
Australians at War,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0,3,3
