Title,Awards,Awards_won,Awards_nominated,Prime_Awards_nominated,Oscars_Awards_nominated,Golden_Globe_Awards_nominated,BAFTA_Awards_nominated,Prime_Awards_won,Oscars_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won,Other_nominations,Other_wins
True Lies,None.,0,0,0,0,0,0,0,0,0,0,0,0
5LDK,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Journal,None.,0,0,0,0,0,0,0,0,0,0,0,0
Orgullo y tradición Mazateca,None.,0,0,0,0,0,0,0,0,0,0,0,0
What Would You Do to Deserve This Bench?,None.,0,0,0,0,0,0,0,0,0,0,0,0
Dreams,None.,0,0,0,0,0,0,0,0,0,0,0,0
Paradise,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Day for Nature,None.,0,0,0,0,0,0,0,0,0,0,0,0
Damaged,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Girl Next Door 8,None.,0,0,0,0,0,0,0,0,0,0,0,0
After Judgment,2 nominations.,0,2,0,0,0,0,0,0,0,0,2,0
The Dream,None.,0,0,0,0,0,0,0,0,0,0,0,0
Refuge,None.,0,0,0,0,0,0,0,0,0,0,0,0
1 chan KNB,None.,0,0,0,0,0,0,0,0,0,0,0,0
Denial; Anger; Bargaining; Depression; Acceptance,None.,0,0,0,0,0,0,0,0,0,0,0,0
Connections,None.,0,0,0,0,0,0,0,0,0,0,0,0
Agricolan jalanjäljillä,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hope,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Heckler,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adanali,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Birdman,None.,0,0,0,0,0,0,0,0,0,0,0,0
9 Maya. Lichnoe otnoshenie,None.,0,0,0,0,0,0,0,0,0,0,0,0
E Mana Manena,None.,0,0,0,0,0,0,0,0,0,0,0,0
10 Dates from Hell,None.,0,0,0,0,0,0,0,0,0,0,0,0
Othello,None.,0,0,0,0,0,0,0,0,0,0,0,0
Readiness,None.,0,0,0,0,0,0,0,0,0,0,0,0
80-luku: Minä olen muistanut,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Total Write-Off!,None.,0,0,0,0,0,0,0,0,0,0,0,0
A sangre fría (las reglas del juego),None.,0,0,0,0,0,0,0,0,0,0,0,0
Pajama Gladiator,2 wins.,2,0,0,0,0,0,0,0,0,0,0,2
The Hand You're Dealt,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alice,None.,0,0,0,0,0,0,0,0,0,0,0,0
10 kirjaa lapsuudesta,None.,0,0,0,0,0,0,0,0,0,0,0,0
Swingers,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
10 kirjaa jotka muuttivat maailmaa,None.,0,0,0,0,0,0,0,0,0,0,0,0
2 Dy a Ni,None.,0,0,0,0,0,0,0,0,0,0,0,0
Von Heilern und Zauberern - Eine Reise durch das magische Peru,None.,0,0,0,0,0,0,0,0,0,0,0,0
Better Off Alone,None.,0,0,0,0,0,0,0,0,0,0,0,0
David Gilmour: Live in Gdansk,None.,0,0,0,0,0,0,0,0,0,0,0,0
Meeting Andrei Tarkovsky,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0,1,1
A Match Made in Heaven,None.,0,0,0,0,0,0,0,0,0,0,0,0
180,None.,0,0,0,0,0,0,0,0,0,0,0,0
2008 World Series of Poker,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aline,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0,4,1
Gone to the Dogs,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Metamorphosis,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather II: Crime Rings,None.,0,0,0,0,0,0,0,0,0,0,0,0
Behind Closed Doors,None.,0,0,0,0,0,0,0,0,0,0,0,0
Luxury,3 wins.,3,0,0,0,0,0,0,0,0,0,0,3
No Man's Land,None.,0,0,0,0,0,0,0,0,0,0,0,0
Exodus to Egypt,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Lobster Trap,None.,0,0,0,0,0,0,0,0,0,0,0,0
All about Sex - Promis klären auf,None.,0,0,0,0,0,0,0,0,0,0,0,0
365gay News,None.,0,0,0,0,0,0,0,0,0,0,0,0
Love Letter,None.,0,0,0,0,0,0,0,0,0,0,0,0
1st Look,None.,0,0,0,0,0,0,0,0,0,0,0,0
24: Day Six - Debrief,None.,0,0,0,0,0,0,0,0,0,0,0,0
10 Years of Monkey Business,None.,0,0,0,0,0,0,0,0,0,0,0,0
Korean Zombie Siege,None.,0,0,0,0,0,0,0,0,0,0,0,0
Joy Ride,None.,0,0,0,0,0,0,0,0,0,0,0,0
1 contro 100,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aire Yoga,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Broken Heart,2 wins.,2,0,0,0,0,0,0,0,0,0,0,2
2 kûru,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hosting Withdrawal,None.,0,0,0,0,0,0,0,0,0,0,0,0
Desi Karate Kid,None.,0,0,0,0,0,0,0,0,0,0,0,0
Depletion,None.,0,0,0,0,0,0,0,0,0,0,0,0
3MW: Storytelling,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Comicbook Orange,None.,0,0,0,0,0,0,0,0,0,0,0,0
Help Wanted,None.,0,0,0,0,0,0,0,0,0,0,0,0
Immaculate Conceptions: Inside a Lesbian Baby Boom,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alles moet weg,None.,0,0,0,0,0,0,0,0,0,0,0,0
Speed in 60 Seconds,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
South Africa: Murder Most Foul,None.,0,0,0,0,0,0,0,0,0,0,0,0
Special Delivery,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Agony of the Ganges,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Virus,None.,0,0,0,0,0,0,0,0,0,0,0,0
Breakfast,None.,0,0,0,0,0,0,0,0,0,0,0,0
Vokzal po sredam,None.,0,0,0,0,0,0,0,0,0,0,0,0
Coming Home,None.,0,0,0,0,0,0,0,0,0,0,0,0
Our Slice of Life,None.,0,0,0,0,0,0,0,0,0,0,0,0
5 Second Movies,None.,0,0,0,0,0,0,0,0,0,0,0,0
Mind Games,None.,0,0,0,0,0,0,0,0,0,0,0,0
15 Minutos MTV,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
X3: Terran Conflict,None.,0,0,0,0,0,0,0,0,0,0,0,0
Real Life,None.,0,0,0,0,0,0,0,0,0,0,0,0
Victory,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alia,None.,0,0,0,0,0,0,0,0,0,0,0,0
Wonderland,None.,0,0,0,0,0,0,0,0,0,0,0,0
Neneh & Andi Dish It Up,None.,0,0,0,0,0,0,0,0,0,0,0,0
Akkara Kazhchakal,None.,0,0,0,0,0,0,0,0,0,0,0,0
3rd & Bird,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0,3,1
First Time,None.,0,0,0,0,0,0,0,0,0,0,0,0
Fall,None.,0,0,0,0,0,0,0,0,0,0,0,0
PWU: Dawn of a New Era,None.,0,0,0,0,0,0,0,0,0,0,0,0
4Music Intros,None.,0,0,0,0,0,0,0,0,0,0,0,0
ALF: Declaration D'Independance 2,None.,0,0,0,0,0,0,0,0,0,0,0,0
A World of Her PWN,None.,0,0,0,0,0,0,0,0,0,0,0,0
À Flor da Pele,None.,0,0,0,0,0,0,0,0,0,0,0,0
A terra dos prodixios,None.,0,0,0,0,0,0,0,0,0,0,0,0
30 Rock: Kenneth the Webpage,None.,0,0,0,0,0,0,0,0,0,0,0,0
Beginnings,None.,0,0,0,0,0,0,0,0,0,0,0,0
Dead End,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hiatus,None.,0,0,0,0,0,0,0,0,0,0,0,0
Asakusa eiga kenkyukai,None.,0,0,0,0,0,0,0,0,0,0,0,0
True Blood-Lines: A New Type,None.,0,0,0,0,0,0,0,0,0,0,0,0
101 vragen aan...,None.,0,0,0,0,0,0,0,0,0,0,0,0
CR: Back to the Future,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bad Boys Bad Toys,None.,0,0,0,0,0,0,0,0,0,0,0,0
Departure,None.,0,0,0,0,0,0,0,0,0,0,0,0
Fuming,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Year in Tibet,None.,0,0,0,0,0,0,0,0,0,0,0,0
Beethoven Virus,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
Abi,None.,0,0,0,0,0,0,0,0,0,0,0,0
Reel to Real (Pilot),None.,0,0,0,0,0,0,0,0,0,0,0,0
Need for Speed,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alfs Welt,None.,0,0,0,0,0,0,0,0,0,0,0,0
Blind Faith,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ai confini della pietà,None.,0,0,0,0,0,0,0,0,0,0,0,0
Upscale Shemale,None.,0,0,0,0,0,0,0,0,0,0,0,0
What's in a Name?,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Máquina de Lavar Pratos,None.,0,0,0,0,0,0,0,0,0,0,0,0
Abenteuer Diagnose,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ask That Guy with the Glasses,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bad Blood,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hirose yuko no shiawase ninaru dvd sayonara...,None.,0,0,0,0,0,0,0,0,0,0,0,0
Crossroads,None.,0,0,0,0,0,0,0,0,0,0,0,0
1 gegen 100,None.,0,0,0,0,0,0,0,0,0,0,0,0
Exploring Costa Rica and Cocos Island,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Relevant Word,None.,0,0,0,0,0,0,0,0,0,0,0,0
Air Dogs,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alles was recht ist,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alive and Cooking,None.,0,0,0,0,0,0,0,0,0,0,0,0
1 Kadin 1 Erkek,None.,0,0,0,0,0,0,0,0,0,0,0,0
Killer-Squirrels,None.,0,0,0,0,0,0,0,0,0,0,0,0
CR: Terminator 2 - Judgment Day,None.,0,0,0,0,0,0,0,0,0,0,0,0
Reencuentro,None.,0,0,0,0,0,0,0,0,0,0,0,0
3 op Reis,None.,0,0,0,0,0,0,0,0,0,0,0,0
Noite de Cinzas,None.,0,0,0,0,0,0,0,0,0,0,0,0
Coffee,None.,0,0,0,0,0,0,0,0,0,0,0,0
Kylie: Showgirl Homecoming Live in Australia,None.,0,0,0,0,0,0,0,0,0,0,0,0
3rd West Ballard,None.,0,0,0,0,0,0,0,0,0,0,0,0
Resistance,None.,0,0,0,0,0,0,0,0,0,0,0,0
Betrayal,None.,0,0,0,0,0,0,0,0,0,0,0,0
Accepti sau Nu,None.,0,0,0,0,0,0,0,0,0,0,0,0
2008 US Open Racquetball Championships,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Primera Hora,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
After Hours,None.,0,0,0,0,0,0,0,0,0,0,0,0
All Access,5 nominations.,0,5,0,0,0,0,0,0,0,0,5,0
Die Hard with a Pension,None.,0,0,0,0,0,0,0,0,0,0,0,0
Double Date,None.,0,0,0,0,0,0,0,0,0,0,0,0
Purple Heart,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aragón. El Viaje Fascinante,None.,0,0,0,0,0,0,0,0,0,0,0,0
35mm,None.,0,0,0,0,0,0,0,0,0,0,0,0
All Together Now,None.,0,0,0,0,0,0,0,0,0,0,0,0
Freedom,None.,0,0,0,0,0,0,0,0,0,0,0,0
2Tube,None.,0,0,0,0,0,0,0,0,0,0,0,0
After the First 48,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alberta's Best is Hiring,None.,0,0,0,0,0,0,0,0,0,0,0,0
Return,None.,0,0,0,0,0,0,0,0,0,0,0,0
'Ons Sterrenkookboek',None.,0,0,0,0,0,0,0,0,0,0,0,0
All for Kids,None.,0,0,0,0,0,0,0,0,0,0,0,0
Air Medics,None.,0,0,0,0,0,0,0,0,0,0,0,0
AMV Heaven,None.,0,0,0,0,0,0,0,0,0,0,0,0
Wedding Bells Gang Bang,None.,0,0,0,0,0,0,0,0,0,0,0,0
All About My Family,None.,0,0,0,0,0,0,0,0,0,0,0,0
Guys Gone Wild: Cream of the Crop,None.,0,0,0,0,0,0,0,0,0,0,0,0
Afropop: The Ultimate Cultural Exchange,None.,0,0,0,0,0,0,0,0,0,0,0,0
2008 Recopa Sudamericana,None.,0,0,0,0,0,0,0,0,0,0,0,0
Age of Terror by Peter Taylor,None.,0,0,0,0,0,0,0,0,0,0,0,0
Purgatory,None.,0,0,0,0,0,0,0,0,0,0,0,0
Marrakech,None.,0,0,0,0,0,0,0,0,0,0,0,0
+ Investigadores,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Herança de Natal,None.,0,0,0,0,0,0,0,0,0,0,0,0
Accidental Addict,None.,0,0,0,0,0,0,0,0,0,0,0,0
Passos no Silencio,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
Afinando a lingua,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Társulat,None.,0,0,0,0,0,0,0,0,0,0,0,0
4 Destinos,None.,0,0,0,0,0,0,0,0,0,0,0,0
Dreams to Remember (The Legacy of Otis Redding),None.,0,0,0,0,0,0,0,0,0,0,0,0
The Three of Portugal,None.,0,0,0,0,0,0,0,0,0,0,0,0
100% Azull,None.,0,0,0,0,0,0,0,0,0,0,0,0
Rocky,None.,0,0,0,0,0,0,0,0,0,0,0,0
MGMT: Electric Feel - Music Video,None.,0,0,0,0,0,0,0,0,0,0,0,0
Active-toi,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ad Persuasion,None.,0,0,0,0,0,0,0,0,0,0,0,0
AF1 (Alle for en),None.,0,0,0,0,0,0,0,0,0,0,0,0
Alla leið,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alive,None.,0,0,0,0,0,0,0,0,0,0,0,0
Detention,None.,0,0,0,0,0,0,0,0,0,0,0,0
Best Evidence: Top 10 UFO Sightings,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adventures of a Real Life Bimbo,None.,0,0,0,0,0,0,0,0,0,0,0,0
Braveheart Reloaded,None.,0,0,0,0,0,0,0,0,0,0,0,0
2008 National League Championship Series,None.,0,0,0,0,0,0,0,0,0,0,0,0
O Segredo da Princesa Lili,None.,0,0,0,0,0,0,0,0,0,0,0,0
9 Ends 2 Out,None.,0,0,0,0,0,0,0,0,0,0,0,0
5th Year,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alarm 112,None.,0,0,0,0,0,0,0,0,0,0,0,0
7 Tage - Wir tauschen unser Leben,None.,0,0,0,0,0,0,0,0,0,0,0,0
16x9: The Bigger Picture,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0,4,2
Louis C.K. Learns About the Catholic Church,None.,0,0,0,0,0,0,0,0,0,0,0,0
Gig Number Two,None.,0,0,0,0,0,0,0,0,0,0,0,0
311 Day Festival,None.,0,0,0,0,0,0,0,0,0,0,0,0
AFL Game Day,None.,0,0,0,0,0,0,0,0,0,0,0,0
Jeanne d'Arc au bûcher,None.,0,0,0,0,0,0,0,0,0,0,0,0
Struggle,None.,0,0,0,0,0,0,0,0,0,0,0,0
A World of Wonders,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aishû no romera,None.,0,0,0,0,0,0,0,0,0,0,0,0
Lars Ulrich - En metalrod vender hjem,None.,0,0,0,0,0,0,0,0,0,0,0,0
2007 American League Championship Series,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Vodka Movie,None.,0,0,0,0,0,0,0,0,0,0,0,0
Neuseeland auf eigene Faust - Die Nordinsel und Südinsel,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adventures on Orsum Island,None.,0,0,0,0,0,0,0,0,0,0,0,0
2008 Presidential Debates,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Life,None.,0,0,0,0,0,0,0,0,0,0,0,0
About Men,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aisleyne,None.,0,0,0,0,0,0,0,0,0,0,0,0
Righteous Kill: The Thin Blue Line - The Darker Side of the Police Force,None.,0,0,0,0,0,0,0,0,0,0,0,0
DNA Onbekend,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aldrig mere fængsel,None.,0,0,0,0,0,0,0,0,0,0,0,0
7 Palmos de Testa,None.,0,0,0,0,0,0,0,0,0,0,0,0
AllStars,None.,0,0,0,0,0,0,0,0,0,0,0,0
Rufus Beck; die deutsche Hörbuch-Stimme von Harry Potter,None.,0,0,0,0,0,0,0,0,0,0,0,0
Stefan Jürgens zu Gast im TAK,None.,0,0,0,0,0,0,0,0,0,0,0,0
Zur Situation der Nachwuchsregisseure,None.,0,0,0,0,0,0,0,0,0,0,0,0
0511 Sondersendung zu Theaterformen,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hanover's Boys' Choir,None.,0,0,0,0,0,0,0,0,0,0,0,0
0511 TV Lokal,None.,0,0,0,0,0,0,0,0,0,0,0,0
Planning Bond's Downfall (and Other Stunts),None.,0,0,0,0,0,0,0,0,0,0,0,0
500 Funchais,None.,0,0,0,0,0,0,0,0,0,0,0,0
Beyond the Forbidden Zone,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandrovskiy sad 2. Gibel komandy,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandrovskiy sad 3. Okhota na Beriyu,None.,0,0,0,0,0,0,0,0,0,0,0,0
Pandamonium,None.,0,0,0,0,0,0,0,0,0,0,0,0
2 Girls; 1 Cup: The Show,None.,0,0,0,0,0,0,0,0,0,0,0,0
Spoiled,None.,0,0,0,0,0,0,0,0,0,0,0,0
Blue Rodeo: Small Miracles,None.,0,0,0,0,0,0,0,0,0,0,0,0
52 Bands 52 Weeks,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adventure Cab,None.,0,0,0,0,0,0,0,0,0,0,0,0
Arre Demo,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Flaman Group in Nicaragua,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ali Mobarak,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ahoyanen! Sukiyanen!,None.,0,0,0,0,0,0,0,0,0,0,0,0
Togo: Autopsy of the Succession,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alex Zane's GuestList,None.,0,0,0,0,0,0,0,0,0,0,0,0
Jurassic Park the Ride: The Show,None.,0,0,0,0,0,0,0,0,0,0,0,0
Finding a Second Chance,None.,0,0,0,0,0,0,0,0,0,0,0,0
Affari di Famiglia,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aidoringu!!! Nikki,None.,0,0,0,0,0,0,0,0,0,0,0,0
2008 American League Championship Series,None.,0,0,0,0,0,0,0,0,0,0,0,0
Andaluna y Samir,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adlershofer Rumpelkammer,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,None.,0,0,0,0,0,0,0,0,0,0,0,0
Lioness in Winter Fashion Show,None.,0,0,0,0,0,0,0,0,0,0,0,0
2 Days 1 Night,None.,0,0,0,0,0,0,0,0,0,0,0,0
2007 National League Championship Series,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aljabal,None.,0,0,0,0,0,0,0,0,0,0,0,0
Al-Ainkaboot,None.,0,0,0,0,0,0,0,0,0,0,0,0
ABC News Breakfast,None.,0,0,0,0,0,0,0,0,0,0,0,0
2008 World Series,None.,0,0,0,0,0,0,0,0,0,0,0,0
Absurd Fights,None.,0,0,0,0,0,0,0,0,0,0,0,0
All Stars TV,None.,0,0,0,0,0,0,0,0,0,0,0,0
Acroanna,None.,0,0,0,0,0,0,0,0,0,0,0,0
Deceit,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hunted,None.,0,0,0,0,0,0,0,0,0,0,0,0
24: Day Zero,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adventure Now,None.,0,0,0,0,0,0,0,0,0,0,0,0
1 protiv 100,None.,0,0,0,0,0,0,0,0,0,0,0,0
Lust,None.,0,0,0,0,0,0,0,0,0,0,0,0
Abraham's Children,None.,0,0,0,0,0,0,0,0,0,0,0,0
Echoes,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Apartment,None.,0,0,0,0,0,0,0,0,0,0,0,0
Roots of Relationship,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
13h15; le samedi,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Games People Play,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adventures of the Talking Clothes,None.,0,0,0,0,0,0,0,0,0,0,0,0
20 Second Movie Reviews,None.,0,0,0,0,0,0,0,0,0,0,0,0
Spiderman 5,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alexei Sayle's Liverpool,None.,0,0,0,0,0,0,0,0,0,0,0,0
5 kulmaa kosmologiaan,None.,0,0,0,0,0,0,0,0,0,0,0,0
Agreement Is the Key to Marital and Family Success,None.,0,0,0,0,0,0,0,0,0,0,0,0
Al-Nakba,None.,0,0,0,0,0,0,0,0,0,0,0,0
1 Minute Au Musée - Les arts de l'Islam,None.,0,0,0,0,0,0,0,0,0,0,0,0
Love Story,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Nos Amours,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alien Abductions: True Confessions,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alltag im Vatikan,None.,0,0,0,0,0,0,0,0,0,0,0,0
Al Ijtiyah,None.,0,0,0,0,0,0,0,0,0,0,0,0
Dinosaur,None.,0,0,0,0,0,0,0,0,0,0,0,0
Revenge,None.,0,0,0,0,0,0,0,0,0,0,0,0
Dogfight,None.,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,None.,0,0,0,0,0,0,0,0,0,0,0,0
Fatalidad,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Wide Stance,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Taste of History,None.,0,0,0,0,0,0,0,0,0,0,0,0
2007 Stanley Cup Finals,None.,0,0,0,0,0,0,0,0,0,0,0,0
Matrix of Love,None.,0,0,0,0,0,0,0,0,0,0,0,0
A la Emma,None.,0,0,0,0,0,0,0,0,0,0,0,0
Polaroid,None.,0,0,0,0,0,0,0,0,0,0,0,0
69,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aspen Gold: The Locations of True Grit,None.,0,0,0,0,0,0,0,0,0,0,0,0
A. Pushkin. 'Evgeniy Onegin',None.,0,0,0,0,0,0,0,0,0,0,0,0
The Word,None.,0,0,0,0,0,0,0,0,0,0,0,0
Complications,None.,0,0,0,0,0,0,0,0,0,0,0,0
Nepal - Im Land der Scherpa,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Shot at Glory,None.,0,0,0,0,0,0,0,0,0,0,0,0
Akiba-chan,None.,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Swift: Love Story,None.,0,0,0,0,0,0,0,0,0,0,0,0
9 mm; crímenes a la medida de la historia,None.,0,0,0,0,0,0,0,0,0,0,0,0
31 Horror Movies in 31 Days,None.,0,0,0,0,0,0,0,0,0,0,0,0
Afrotainers,None.,0,0,0,0,0,0,0,0,0,0,0,0
Agadam Bagdam Tigdam,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ala Kaid Al Hayat,None.,0,0,0,0,0,0,0,0,0,0,0,0
Agoniya strakha,None.,0,0,0,0,0,0,0,0,0,0,0,0
3 Minute Wonder: Preparing for the Worst,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Kind of Magic,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adrenalin,None.,0,0,0,0,0,0,0,0,0,0,0,0
Trading Places: Dressing the Part,None.,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man 3 on Location: Cleveland; the Chase and Euclid Avenue,None.,0,0,0,0,0,0,0,0,0,0,0,0
Troy in Focus,None.,0,0,0,0,0,0,0,0,0,0,0,0
AKBingo!,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aigia fuxia,None.,0,0,0,0,0,0,0,0,0,0,0,0
On the Edge,None.,0,0,0,0,0,0,0,0,0,0,0,0
83: As enchentes de Blumenau,None.,0,0,0,0,0,0,0,0,0,0,0,0
Raiders of the Lost Ark: An Introduction,None.,0,0,0,0,0,0,0,0,0,0,0,0
Walking Dead,None.,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode IV - A New Hope,Won 6 Oscars. Another 48 wins & 28 nominations.,54,28,0,0,0,0,0,6,0,0,28,48
Watchmen,12 wins & 20 nominations.,12,20,0,0,0,0,0,0,0,0,20,12
The Haunted World of El Superbeasto,None.,0,0,0,0,0,0,0,0,0,0,0,0
Prince of Persia: The Sands of Time,1 win & 9 nominations.,1,9,0,0,0,0,0,0,0,0,9,1
Resident Evil 5,2 nominations.,0,2,0,0,0,0,0,0,0,0,2,0
London Dreams,None.,0,0,0,0,0,0,0,0,0,0,0,0
Love & Other Drugs,Nominated for 2 Golden Globes. Another 1 win & 4 nominations.,1,6,0,0,2,0,0,0,0,0,4,1
Clash of the Titans,4 wins & 12 nominations.,4,12,0,0,0,0,0,0,0,0,12,4
The Kids Are All Right,Nominated for 4 Oscars. Another 28 wins & 116 nominations.,28,120,0,4,0,0,0,0,0,0,116,28
First Strike,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Blind Side,Won 1 Oscar. Another 7 wins & 29 nominations.,8,29,0,0,0,0,0,1,0,0,29,7
Medium Raw: Night of the Wolf,None.,0,0,0,0,0,0,0,0,0,0,0,0
How to Train Your Dragon,Nominated for 2 Oscars. Another 25 wins & 58 nominations.,25,60,0,2,0,0,0,0,0,0,58,25
Nine Dead,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Minha Família,None.,0,0,0,0,0,0,0,0,0,0,0,0
Life's a Drag (When You're a Man in a Dress),None.,0,0,0,0,0,0,0,0,0,0,0,0
Gamer,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
Repo Men,2 nominations.,0,2,0,0,0,0,0,0,0,0,2,0
The Descent: Part 2,None.,0,0,0,0,0,0,0,0,0,0,0,0
Max Neptune and the Menacing Squid,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0,1,1
Blackout,None.,0,0,0,0,0,0,0,0,0,0,0,0
Mars,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0,1,2
Sibling Rivalry,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hannah Montana: The Movie,6 wins & 10 nominations.,6,10,0,0,0,0,0,0,0,0,10,6
Aaron Stone,None.,0,0,0,0,0,0,0,0,0,0,0,0
Burlesque,Won 1 Golden Globe. Another 5 wins & 17 nominations.,6,17,0,0,0,0,0,0,1,0,17,5
Twisted Roots,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
The Godfather II,None.,0,0,0,0,0,0,0,0,0,0,0,0
13: Fear Is Real,None.,0,0,0,0,0,0,0,0,0,0,0,0
Without Bias,2 wins.,2,0,0,0,0,0,0,0,0,0,0,2
Action spéciale douanes,None.,0,0,0,0,0,0,0,0,0,0,0,0
Above Suspicion,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Vida Privada de Salazar,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
Acusados,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0,3,2
Alguien que me quiera,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
Christina,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
All About Eve,None.,0,0,0,0,0,0,0,0,0,0,0,0
183 dagar,None.,0,0,0,0,0,0,0,0,0,0,0,0
