Team,Score
FATA Cheetas,140.0
Sialkot Stallions,169.0
Sri Lanka Ports Authority Cricket Club,117.0
St Kitts and Nevis Patriots,178.2
Jersey,107.0
Larkana Region,142.0
Bahawalpur Region,154.6
Lahore Region Blues,125.5
Azad Jammu & Kashmir Region,123.0
Karachi Region Blues,185.0
Hyderabad Region,175.0
Lahore Region Whites,169.0
Sialkot Region,163.0
Abbottabad Region,182.66666666666666
Multan Region,147.5
Peshawar Region,170.0
Northern Cape,162.33333333333334
Rangpur Riders,137.88888888888889
Dhaka Dynamites,138.8
Comilla Victorians,138.85714285714286
Barisal Bulls,157.75
Sylhet Super Stars,112.0
England Lions,149.33333333333334
Saurashtra,144.0
Colombo Commandos,155.0
Hambantota Troopers,132.5
Galle Guardians,145.33333333333334
Kurunegala Warriors,143.5
Kandy Crusaders,156.0
Karachi Kings,154.5
Peshawar Zalmi,145.0
Quetta Gladiators,146.0
Islamabad United,149.85714285714286
Lahore Qalandars,179.0
North Island,127.0
Gujarat Lions,161.0
Rising Pune Supergiants,147.0
Trinbago Knight Riders,170.0
Karachi Blues,169.5
Federally Administered Tribal Areas,139.5
Lahore Blues,136.0
Karachi Whites,161.0
Lahore Whites,162.66666666666666
Peshawar,140.0
Islamabad,151.0
Khulna Titans,133.0
Chittagong Vikings,162.5
